request_id,phase_id,cache_hit_rate,context_size,cached_tokens,unique_tokens,output_tokens,ttft,ttlt,generation_time,total_time,launch_time,finish_time,concurrency_level,itl,prefill_complete_time,token_timestamps,tokens_per_chunk
P5_c26_r158,SUSTAINED_P5,97,64000,61952,2048,1,5.154935121536255,5.154935121536255,0.0009360313415527344,5.155874967575073,1766196711.6858952,1766196716.8417702,26,0.0,1766196716.8408303,[1766196716.8408313],[1]
P5_c26_r154,SUSTAINED_P5,97,64000,61952,2048,1,5.214141607284546,5.214141607284546,0.0004885196685791016,5.214632749557495,1766196710.8309867,1766196716.0456195,26,0.0,1766196716.0451283,[1766196716.0451288],[1]
P5_c26_r156,SUSTAINED_P5,97,64000,61952,2048,1,5.916623592376709,5.916623592376709,0.0014767646789550781,5.918104648590088,1766196710.9235103,1766196716.841615,26,0.0,1766196716.840134,[1766196716.8401353],[1]
P5_c26_r148,SUSTAINED_P5,97,64000,61952,2048,1,5.838967800140381,5.838967800140381,0.0010933876037597656,5.840064764022827,1766196709.415817,1766196715.2558818,26,0.0,1766196715.2547848,[1766196715.2547855],[1]
P5_c26_r161,SUSTAINED_P5,97,64000,61952,2048,1,5.117295265197754,5.117295265197754,0.00041222572326660156,5.117710113525391,1766196712.443605,1766196717.561315,26,0.0,1766196717.5609002,[1766196717.5609007],[1]
P5_c26_r152,SUSTAINED_P5,97,64000,61952,2048,1,5.8322062492370605,5.8322062492370605,0.0015006065368652344,5.833710670471191,1766196710.211715,1766196716.0454257,26,0.0,1766196716.0439212,[1766196716.0439222],[1]
P5_c26_r155,SUSTAINED_P5,97,64000,61952,2048,1,5.965846061706543,5.965846061706543,0.001051187515258789,5.966902494430542,1766196710.8735645,1766196716.840467,26,0.0,1766196716.8394105,[1766196716.8394127],[1]
P5_c26_r159,SUSTAINED_P5,97,64000,61952,2048,1,5.832416772842407,5.832416772842407,0.0009353160858154297,5.83335542678833,1766196711.7278414,1766196717.5611968,26,0.0,1766196717.5602582,[1766196717.5602589],[1]
P5_c26_r157,SUSTAINED_P5,97,64000,61952,2048,1,5.197209358215332,5.197209358215332,0.0004687309265136719,5.197680473327637,1766196711.644132,1766196716.8418124,26,0.0,1766196716.8413413,[1766196716.8413417],[1]
P5_c26_r150,SUSTAINED_P5,97,64000,61952,2048,1,5.12804651260376,5.12804651260376,0.0005257129669189453,5.12857460975647,1766196710.1287005,1766196715.257275,26,0.0,1766196715.256747,[1766196715.2567477],[1]
P5_c26_r153,SUSTAINED_P5,97,64000,61952,2048,1,5.789642810821533,5.789642810821533,0.0010421276092529297,5.790688753128052,1766196710.2535663,1766196716.044255,26,0.0,1766196716.043209,[1766196716.0432098],[1]
P5_c26_r166,SUSTAINED_P5,97,64000,61952,2048,1,5.528670787811279,5.528670787811279,0.00040078163146972656,5.5290751457214355,1766196713.2748568,1766196718.803932,26,0.0,1766196718.8035276,[1766196718.8035283],[1]
